Rk,School,City State,Start,End,Yrs,G,W,L,W-L%,SRS,SOS,AP,CREG,CTRN,NCAA,FF,NC
222,oakland,Rochester Michigan,2000,2022,23,742,400,342,0.539,-1.48,-1.51,0,4,3,3,0,0
223,ohio,Athens Ohio,1908,2022,115,2777,1589,1188,0.572,0.56,-0.22,0,10,7,14,0,0
224,ohio-state,Columbus Ohio,1899,2022,123,2980,1830,1150,0.614,11.9,7.5,24,22,5,35,11,1
225,oklahoma,Norman Oklahoma,1908,2022,115,2861,1739,1122,0.608,9.72,6.55,19,14,7,33,5,0
226,oklahoma-state,Stillwater Oklahoma,1908,2022,113,2929,1714,1215,0.585,8.84,5.91,19,19,4,29,6,2
227,old-dominion,Norfolk Virginia,1977,2022,46,1436,869,567,0.605,3.08,-0.09,0,9,7,12,0,0
228,nebraska-omaha,Omaha Nebraska,2013,2022,10,306,132,174,0.431,-7.3,-2.33,0,0,0,0,0,0
229,oral-roberts,Tulsa Oklahoma,1972,2022,47,1405,790,615,0.562,0.44,-1.1,2,7,6,6,0,0
230,oregon,Eugene Oregon,1903,2022,117,3126,1732,1393,0.554,6.27,5.89,6,8,5,17,2,1
231,oregon-state,Corvallis Oregon,1902,2022,121,3195,1801,1394,0.564,6.11,5.65,8,12,1,18,2,0
232,pacific,Stockton California,1938,2022,72,2030,1024,1006,0.504,-1.2,-0.05,1,10,5,9,0,0
233,penn-state,University Park Pennsylvania,1897,2022,126,2751,1522,1228,0.553,2.69,2.35,2,1,1,9,1,0
234,pennsylvania,Philadelphia Pennsylvania,1897,2022,121,2950,1813,1136,0.615,0.12,-2.96,6,38,1,24,1,0
235,pepperdine,Malibu California,1944,2022,68,1957,966,991,0.494,-2.25,0.22,1,12,3,13,0,0
236,pittsburgh,Pittsburgh Pennsylvania,1906,2022,115,2873,1652,1221,0.575,5.18,4.23,13,11,4,26,1,0
237,portland,Portland Oregon,1954,2022,69,1952,820,1132,0.42,-5.33,0.71,0,0,1,2,0,0
238,portland-state,Portland Oregon,1999,2022,33,953,465,488,0.488,-5.94,-3.06,0,2,2,2,0,0
239,prairie-view,Prairie View Texas,1981,2022,42,1214,372,842,0.306,-20.17,-8.24,0,4,2,2,0,0
240,presbyterian,Clinton South Carolina,2011,2022,12,371,127,244,0.342,-13.44,-5.46,0,0,0,0,0,0
241,princeton,Princeton New Jersey,1901,2022,122,2895,1784,1110,0.616,1.39,-3.59,4,31,1,25,1,0
242,providence,Providence Rhode Island,1929,2022,73,2111,1294,817,0.613,7.64,4.48,7,1,2,21,2,0
243,purdue,West Lafayette Indiana,1897,2022,124,2937,1884,1053,0.641,11.99,7.71,24,24,1,33,2,0
244,ipfw,Fort Wayne Indiana,2003,2022,20,618,292,326,0.472,-6.33,-2.91,0,2,0,0,0,0
245,quinnipiac,Hamden Connecticut,1999,2022,24,713,337,376,0.473,-8.18,-6.67,0,1,0,0,0,0
246,radford,Radford Virginia,1985,2022,38,1139,592,547,0.52,-8.89,-6.96,0,6,3,3,0,0
247,rhode-island,Kingston Rhode Island,1904,2022,116,2736,1560,1176,0.57,-0.95,-0.54,0,15,2,10,0,0
248,rice,Houston Texas,1915,2022,108,2647,1159,1488,0.438,-3.25,0.73,0,10,0,4,0,0
249,richmond,Richmond Virginia,1913,2022,110,2675,1435,1240,0.536,-1.88,-1.31,1,6,7,10,0,0
250,rider,Lawrenceville New Jersey,1929,2022,59,1675,875,800,0.522,-7.43,-6.01,0,12,3,3,0,0
251,robert-morris,Moon Township Pennsylvania,1977,2022,46,1369,661,708,0.483,-8.91,-6.73,0,11,9,8,0,0
252,rutgers,New Brunswick New Jersey,1914,2022,108,2543,1294,1249,0.509,-0.57,0.88,2,9,2,8,1,0
253,sacramento-state,Sacramento California,1992,2022,31,879,278,601,0.316,-12.13,-3.17,0,0,0,0,0,0
254,sacred-heart,Fairfield Connecticut,2000,2022,23,678,263,415,0.388,-11.1,-7.1,0,0,0,0,0,0
255,saint-francis-pa,Loretto Pennsylvania,1956,2022,67,1827,815,1012,0.446,-9.23,-4.54,0,2,1,1,0,0
256,saint-josephs,Philadelphia Pennsylvania,1910,2022,113,2856,1668,1188,0.584,3.72,1.92,6,20,6,21,1,0
257,saint-louis,St. Louis Missouri,1916,2022,106,2741,1491,1250,0.544,5.18,3.95,10,7,3,10,0,0
258,saint-marys-ca,Moraga California,1910,2022,113,2672,1407,1265,0.527,-0.66,0.47,5,7,4,11,0,0
259,saint-peters,Jersey City New Jersey,1966,2022,57,1634,816,818,0.499,-4.95,-4.01,0,6,4,4,0,0
260,sam-houston-state,Huntsville Texas,1987,2022,36,1075,569,506,0.529,-6.72,-5.26,0,6,2,2,0,0
261,samford,Birmingham Alabama,1973,2022,50,1443,630,813,0.437,-8.96,-5.15,0,3,2,2,0,0
262,san-diego-state,San Diego California,1971,2022,52,1569,873,696,0.556,3.99,3.37,5,10,8,14,0,0
263,san-diego,San Diego California,1980,2022,43,1258,618,640,0.491,-0.48,0.7,0,2,2,4,0,0
264,san-francisco,San Francisco California,1924,2022,95,2490,1443,1047,0.58,2.59,0.75,9,15,1,17,3,2
265,san-jose-state,San Jose California,1938,2022,72,1972,774,1198,0.392,-4.41,0.87,0,1,2,2,0,0
266,santa-clara,Santa Clara California,1909,2022,113,2687,1542,1145,0.574,1.42,0.63,2,11,2,11,1,0
267,seattle,Seattle Washington,2011,2022,40,1120,661,459,0.59,0.94,-1.35,5,1,0,11,1,0
268,seton-hall,South Orange New Jersey,1909,2022,109,2688,1570,1117,0.584,3.88,3.75,8,4,3,14,1,0
269,siena,Loudonville New York,1939,2022,64,1758,965,793,0.549,-4.13,-3.55,1,11,6,6,0,0
270,south-alabama,Mobile Alabama,1972,2022,51,1498,845,653,0.564,-0.95,-1.75,0,12,5,8,0,0
271,south-carolina,Columbia South Carolina,1909,2022,114,2765,1468,1296,0.531,4.25,3.61,8,7,2,9,1,0
272,south-carolina-state,Orangeburg South Carolina,1972,2022,51,1497,714,783,0.477,-13.47,-10.41,0,8,5,5,0,0
273,south-carolina-upstate,Spartanburg South Carolina,2011,2022,12,384,158,226,0.411,-9.22,-4.4,0,0,0,0,0,0
274,south-dakota,Vermillion South Dakota,2011,2022,12,373,195,178,0.523,-4.29,-3.51,0,1,0,0,0,0
275,south-dakota-state,Brookings South Dakota,2009,2022,14,458,305,153,0.666,2.3,-2.71,0,8,6,6,0,0
276,south-florida,Tampa Florida,1974,2022,49,1447,654,793,0.452,1.16,3.15,0,1,1,3,0,0
277,southeast-missouri-state,Cape Girardeau Missouri,1992,2022,31,918,379,539,0.413,-8.84,-4.84,0,1,1,1,0,0
278,southeastern-louisiana,Hammond Louisiana,1981,2022,41,1190,517,673,0.434,-11.04,-6.36,0,5,1,1,0,0
279,southern-california,Los Angeles California,1907,2022,116,2930,1692,1238,0.577,8.14,6.27,11,7,1,20,2,0
280,southern-illinois,Carbondale Illinois,1968,2022,55,1638,906,732,0.553,2.61,2.05,1,9,5,10,0,0
281,southern-illinois-edwardsville,Edwardsville Illinois,2011,2022,12,350,109,241,0.311,-12.84,-4.54,0,0,0,0,0,0
282,southern,Baton Rouge Louisiana,1978,2022,45,1329,691,638,0.52,-10.16,-10.01,0,8,9,9,0,0
283,southern-methodist,Dallas Texas,1917,2022,106,2651,1400,1251,0.528,2.76,1.91,5,15,3,12,1,0
284,southern-mississippi,Hattiesburg Mississippi,1973,2022,50,1476,748,728,0.507,0.23,1.7,1,2,0,3,0,0
285,southern-utah,Cedar City Utah,1989,2022,34,996,441,555,0.443,-7.05,-3.76,0,3,3,1,0,0
286,st-bonaventure,St. Bonaventure New York,1920,2022,102,2485,1420,1065,0.571,2.28,1.61,6,8,2,8,1,0
287,st-francis-ny,Brooklyn Heights New York,1902,2022,103,2589,1259,1330,0.486,-11.62,-5.7,0,6,0,0,0,0
288,st-johns-ny,Queens New York,1908,2022,115,3021,1950,1071,0.645,8.5,5.09,15,14,3,30,2,0
289,st-thomas-mn,St. Paul Minnesota,2022,2022,1,30,10,20,0.333,-11.14,-5.58,0,0,0,0,0,0
290,stanford,Stanford California,1914,2022,107,2783,1579,1204,0.567,7.9,6.18,10,11,1,17,2,1
291,stephen-f-austin,Nacogdoches Texas,1987,2022,36,1056,615,441,0.582,-5.35,-6.57,0,10,5,5,0,0
292,stetson,DeLand Florida,1972,2022,51,1463,660,803,0.451,-8.29,-4.5,0,0,0,0,0,0
293,stony-brook,Stony Brook New York,2000,2022,23,704,358,346,0.509,-6.33,-5.4,0,4,1,1,0,0
294,syracuse,Syracuse New York,1901,2022,121,3006,2057,949,0.684,9.73,4.04,30,10,5,41,6,1
295,tarleton-state,Stephenville Texas,2021,2022,2,51,24,27,0.471,-5.23,-1.76,0,0,0,0,0,0
296,texas-christian,Fort Worth Texas,1914,2022,109,2716,1272,1444,0.468,0.43,2.15,3,11,0,9,0,0
297,temple,Philadelphia Pennsylvania,1895,2022,126,3081,1962,1119,0.637,6.35,2.67,9,20,10,33,2,0
298,tennessee-state,Nashville Tennessee,1978,2022,45,1292,547,745,0.423,-8.72,-4.79,0,2,2,2,0,0
299,tennessee-tech,Cookeville Tennessee,1944,2022,68,1863,901,962,0.484,-6.7,-3.63,0,7,1,2,0,0
300,tennessee,Knoxville Tennessee,1909,2022,113,2802,1718,1082,0.614,8.72,5.34,14,13,5,24,0,0
301,tennessee-martin,Martin Tennessee,1993,2022,30,883,330,553,0.374,-11.41,-4.2,0,1,0,0,0,0
302,texas-am,College Station Texas,1913,2022,110,2787,1475,1312,0.529,2.58,2.62,4,12,2,14,0,0
303,texas-am-corpus-christi,Corpus Christi Texas,2003,2022,20,617,315,302,0.511,-6.73,-5.01,0,1,2,2,0,0
304,texas,Austin Texas,1906,2022,116,2967,1849,1118,0.623,6.56,3.81,13,25,3,36,3,0
305,texas-southern,Houston Texas,1978,2022,45,1350,676,674,0.501,-10.27,-8.36,0,12,10,10,0,0
306,texas-state,San Marcos Texas,1985,2022,38,1115,525,590,0.471,-7.88,-5.47,0,5,2,2,0,0
307,texas-tech,Lubbock Texas,1926,2022,94,2547,1437,1110,0.564,4.74,2.75,8,13,5,19,1,0
308,texas-pan-american,Edinburg Texas,1969,2022,54,1520,650,870,0.428,-8.4,-3.15,0,0,0,0,0,0
309,citadel,Charleston South Carolina,1913,2022,110,2448,1029,1419,0.42,-12.87,-5.37,0,0,0,0,0,0
