season_number,season,conf,win,loss,wpct,conf_win,conf_loss,conf_wpct,srs,sos,ppg,opp_ppg,ap_pre,ap_highest,ap_final,tournament_outcome,seed,coach,school
1,2022,MAC,8,23,0.258,4,16,0.2,-13.51,-2.29,65.4,75.1,NA,NA,NA,NA,NA,Clayton Bates (8-23),western-michigan
2,2021,MAC,5,16,0.238,4,12,0.25,-11.51,-1.21,63.1,72,NA,NA,NA,NA,NA,Clayton Bates (5-16),western-michigan
3,2020,MAC,13,19,0.406,6,12,0.333,-5.42,-0.25,69.4,72.1,NA,NA,NA,NA,NA,Steve Hawkins (13-19),western-michigan
4,2019,MAC,8,24,0.25,2,16,0.111,-6.26,1.48,70.2,76.2,NA,NA,NA,NA,NA,Steve Hawkins (8-24),western-michigan
5,2018,MAC,17,15,0.531,9,9,0.5,-2.22,-1.99,75.1,73.4,NA,NA,NA,NA,NA,Steve Hawkins (17-15),western-michigan
6,2017,MAC,16,16,0.5,11,7,0.611,-0.78,-0.55,75.5,75.3,NA,NA,NA,NA,NA,Steve Hawkins (16-16),western-michigan
7,2016,MAC,13,19,0.406,7,11,0.389,-2.07,0.06,73.2,73.5,NA,NA,NA,NA,NA,Steve Hawkins (13-19),western-michigan
8,2015,MAC,20,14,0.588,10,8,0.556,0.25,0.19,70.6,69.2,NA,NA,NA,NA,NA,Steve Hawkins (20-14),western-michigan
9,2014,MAC,23,10,0.697,14,4,0.778,1.73,-1.45,71.9,67.7,NA,NA,NA,Lost Second Round,14,Steve Hawkins (23-10),western-michigan
10,2013,MAC,22,13,0.629,10,6,0.625,0.42,-1.44,67,63.9,NA,NA,NA,NA,NA,Steve Hawkins (22-13),western-michigan
11,2012,MAC,14,20,0.412,6,10,0.375,-1.8,0.17,68.6,69.9,NA,NA,NA,NA,NA,Steve Hawkins (14-20),western-michigan
12,2011,MAC,21,13,0.618,11,5,0.688,-0.7,-2.52,71.8,68.3,NA,NA,NA,NA,NA,Steve Hawkins (21-13),western-michigan
13,2010,MAC,18,15,0.545,8,8,0.5,0.43,-1.17,69.3,66.5,NA,NA,NA,NA,NA,Steve Hawkins (18-15),western-michigan
14,2009,MAC,10,21,0.323,7,9,0.438,-5.69,-3.19,61.9,64.6,NA,NA,NA,NA,NA,Steve Hawkins (10-21),western-michigan
15,2008,MAC,20,12,0.625,12,4,0.75,3.2,-0.51,69.7,65,NA,NA,NA,NA,NA,Steve Hawkins (20-12),western-michigan
16,2007,MAC,16,16,0.5,9,7,0.563,2.11,2.04,71.5,70.4,NA,NA,NA,NA,NA,Steve Hawkins (16-16),western-michigan
17,2006,MAC,14,17,0.452,10,8,0.556,-5.67,0.23,63.5,68.6,NA,NA,NA,NA,NA,Steve Hawkins (14-17),western-michigan
18,2005,MAC,20,13,0.606,11,7,0.611,6.29,2.35,72.9,67.2,NA,NA,NA,NA,NA,Steve Hawkins (20-13),western-michigan
19,2004,MAC,26,5,0.839,15,3,0.833,12,0.2,78.5,66.1,NA,NA,NA,Lost First Round,11,Steve Hawkins (26-5),western-michigan
20,2003,MAC,20,11,0.645,10,8,0.556,6.67,0.76,69.4,63.5,NA,NA,NA,NA,NA,Robert McCullum (20-11),western-michigan
21,2002,MAC,17,13,0.567,10,8,0.556,0.75,-0.38,73.5,72.4,NA,NA,NA,NA,NA,Robert McCullum (17-13),western-michigan
22,2001,MAC,7,21,0.25,7,11,0.389,-7.17,0.4,66.4,74,NA,NA,NA,NA,NA,Robert McCullum (7-21),western-michigan
23,2000,MAC,10,18,0.357,6,12,0.333,-3.38,1.87,73,78.3,NA,NA,NA,NA,NA,Bob Donewald (10-18),western-michigan
24,1999,MAC,11,15,0.423,6,12,0.333,-1.3,3.7,70.1,74,NA,NA,NA,NA,NA,Bob Donewald (11-15),western-michigan
25,1998,MAC,21,8,0.724,14,4,0.778,10.28,1.9,78.8,70.4,NA,NA,NA,Lost Second Round,11,Bob Donewald (21-8),western-michigan
26,1997,MAC,14,14,0.5,9,9,0.5,-0.4,0.81,66.9,68.1,NA,NA,NA,NA,NA,Bob Donewald (14-14),western-michigan
27,1996,MAC,15*,12*,0.556,13,5,0.722,2.91,1.87,70.5,69.4,NA,NA,NA,NA,NA,Bob Donewald (15-12),western-michigan
28,1995,MAC,14,13,0.519,9,9,0.5,1.2,0.94,68.6,68.4,NA,NA,NA,NA,NA,Bob Donewald (14-13),western-michigan
29,1994,MAC,14,14,0.5,7,11,0.389,-1.56,0.05,69.9,71.5,NA,NA,NA,NA,NA,Bob Donewald (14-14),western-michigan
30,1993,MAC,17,12,0.586,12,6,0.667,-1.6,-2.32,67.4,66.2,NA,NA,NA,NA,NA,Bob Donewald (17-12),western-michigan
31,1992,MAC,21,9,0.7,11,5,0.688,4.7,0.34,70.2,65.8,NA,NA,NA,NA,NA,Bob Donewald (21-9),western-michigan
32,1991,MAC,5,22,0.185,2,14,0.125,-7.57,1.9,67.1,76.1,NA,NA,NA,NA,NA,Bob Donewald (5-22),western-michigan
1,2022,AAC,15,13,0.536,6,9,0.4,8.12,6.01,68.5,66.4,NA,NA,NA,NA,NA,Isaac Brown (15-13),wichita-state
2,2021,AAC,16,6,0.727,11,2,0.846,9.36,6.91,71.5,66.8,NA,NA,NA,Lost First Four,11,Isaac Brown (16-6),wichita-state
3,2020,AAC,23,8,0.742,11,7,0.611,13.66,5.6,71.8,63.8,NA,16,NA,NA,NA,Gregg Marshall (23-8),wichita-state
4,2019,AAC,22,15,0.595,10,8,0.556,7.72,5.91,70.5,68.7,NA,NA,NA,NA,NA,Gregg Marshall (22-15),wichita-state
5,2018,AAC,25,8,0.758,14,4,0.778,16.58,5.46,82.8,71.6,7,3,16,Lost First Round,4,Gregg Marshall (25-8),wichita-state
6,2017,MVC,31,5,0.861,17,1,0.944,21.24,2.96,81,62.4,NA,19,19,Lost Second Round,10,Gregg Marshall (31-5),wichita-state
7,2016,MVC,26,9,0.743,16,2,0.889,17.39,4.24,72.4,59,10,9,NA,Lost Second Round,11,Gregg Marshall (26-9),wichita-state
8,2015,MVC,30,5,0.857,17,1,0.944,15.56,3.68,70.3,57.4,11,8,14,Lost Regional Semifinal,7,Gregg Marshall (30-5),wichita-state
9,2014,MVC,35,1,0.972,18,0,1,16.65,1.74,75.2,59.5,16,2,2,Lost Third Round,1,Gregg Marshall (35-1),wichita-state
10,2013,MVC,30,9,0.769,12,6,0.667,14.68,6.09,69.7,61.2,NA,15,NA,Lost National Semifinal,9,Gregg Marshall (30-9),wichita-state
11,2012,MVC,27,6,0.818,16,2,0.889,17.42,3.8,77.1,62.4,NA,15,18,Lost Second Round,5,Gregg Marshall (27-6),wichita-state
12,2011,MVC,29,8,0.784,14,4,0.778,12.57,1.79,72.7,61.6,NA,NA,NA,NA,NA,Gregg Marshall (29-8),wichita-state
13,2010,MVC,25,10,0.714,12,6,0.667,8.06,1.73,69.3,61.8,NA,NA,NA,NA,NA,Gregg Marshall (25-10),wichita-state
14,2009,MVC,17,17,0.5,8,10,0.444,2.05,2.08,62.9,62.5,NA,NA,NA,NA,NA,Gregg Marshall (17-17),wichita-state
15,2008,MVC,11,20,0.355,4,14,0.222,1.04,2.85,62.5,64.4,NA,NA,NA,NA,NA,Gregg Marshall (11-20),wichita-state
16,2007,MVC,17,14,0.548,8,10,0.444,10.05,6.36,68.6,64.1,NA,8,NA,NA,NA,Mark Turgeon (17-14),wichita-state
17,2006,MVC,26,9,0.743,14,4,0.778,11.45,4.72,69.2,61.9,NA,NA,NA,Lost Regional Semifinal,7,Mark Turgeon (26-9),wichita-state
18,2005,MVC,22,10,0.688,12,6,0.667,9.62,4.37,71.9,66.6,NA,NA,NA,NA,NA,Mark Turgeon (22-10),wichita-state
19,2004,MVC,21,11,0.656,12,6,0.667,8.94,2.62,71.8,64.9,NA,NA,NA,NA,NA,Mark Turgeon (21-11),wichita-state
20,2003,MVC,18,12,0.6,12,6,0.667,2.39,0.99,71.9,70.5,NA,NA,NA,NA,NA,Mark Turgeon (18-12),wichita-state
21,2002,MVC,15,15,0.5,9,9,0.5,0.82,0.15,72.9,72.2,NA,NA,NA,NA,NA,Mark Turgeon (15-15),wichita-state
22,2001,MVC,9,19,0.321,4,14,0.222,-1.13,2.12,63.9,67.1,NA,NA,NA,NA,NA,Mark Turgeon (9-19),wichita-state
23,2000,MVC,12,17,0.414,5,13,0.278,0.57,1.92,66.4,67.4,NA,NA,NA,NA,NA,Randy Smithson (12-17),wichita-state
24,1999,MVC,13,17,0.433,6,12,0.333,1.46,3.32,69.7,70.6,NA,NA,NA,NA,NA,Randy Smithson (13-17),wichita-state
25,1998,MVC,16,15,0.516,11,7,0.611,0.95,1.89,63.5,64.5,NA,NA,NA,NA,NA,Randy Smithson (16-15),wichita-state
26,1997,MVC,14,13,0.519,8,10,0.444,5.89,1.67,67.2,63,NA,NA,NA,NA,NA,Randy Smithson (14-13),wichita-state
27,1996,MVC,8,21,0.276,4,14,0.222,-3.03,2.73,61,66.8,NA,NA,NA,NA,NA,Scott Thompson (8-21),wichita-state
28,1995,MVC,13,14,0.481,6,12,0.333,-0.09,2.26,64.4,65.9,NA,NA,NA,NA,NA,Scott Thompson (13-14),wichita-state
29,1994,MVC,9,18,0.333,6,12,0.333,-8.13,0.72,64.7,72,NA,NA,NA,NA,NA,Scott Thompson (9-18),wichita-state
30,1993,MVC,10,17,0.37,7,11,0.389,-1.39,4.3,64.6,69.6,NA,NA,NA,NA,NA,Scott Thompson (10-17),wichita-state
31,1992,MVC,8,20,0.286,6,12,0.333,-4.75,1,61.1,66.8,NA,NA,NA,NA,NA,Mike Cohen (8-20),wichita-state
32,1991,MVC,14,17,0.452,7,9,0.438,-1.44,4.15,66.2,71.8,NA,NA,NA,NA,NA,Mike Cohen (14-17),wichita-state
1,2022,CAA,5,27,0.156,4,14,0.222,-13.91,-1.88,63.9,74.4,NA,NA,NA,NA,NA,Dane Fischer (5-27),william-mary
2,2021,CAA,7,10,0.412,4,6,0.4,-11.23,-3.99,64.8,72,NA,NA,NA,NA,NA,Dane Fischer (7-10),william-mary
